molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL181888,COc1ccc(-c2cc(C#N)c(OCc3ccccc3)nc2-c2ccc(N(C)C)cc2)cc1,active,435.52700000000016,5.940880000000006,0.0,5.0,-0.038701730883204645,6.275724130399211
CHEMBL180252,N#Cc1cc(-c2ccccc2)c(-c2ccc(Cl)cc2)n(Cc2ccccc2)c1=O,active,396.8770000000001,5.755680000000004,0.0,3.0,-0.012451009197296036,5.221848749616356
CHEMBL178987,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n(Cc2ccccc2)c1=O,active,465.7670000000002,7.062480000000004,0.0,3.0,-0.0316471493698069,5.698970004336019
CHEMBL180507,O=C(c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1)N1CCCCC1,active,445.77700000000027,7.0019000000000045,0.0,2.0,-0.03961354754139891,6.468521082957745
CHEMBL360474,CCCCCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,461.8200000000002,7.6859000000000055,1.0,2.0,-0.04103886094920784,7.366531544420414
CHEMBL180447,CCCC(CCC)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,475.84700000000015,8.074400000000006,1.0,2.0,-0.04109165033468225,7.494850021680094
CHEMBL181720,O=C(NC1CCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,445.7770000000002,7.048200000000004,1.0,2.0,-0.04099087059877657,7.275724130399211
CHEMBL180648,O=C(NC1CCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,459.80400000000026,7.438300000000005,1.0,2.0,-0.040789311126965204,7.022276394711152
CHEMBL360673,O=C(NC1CCCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,473.8310000000002,7.828400000000006,1.0,2.0,-0.041077253229552864,7.455931955649724
CHEMBL180564,O=C(NN1CCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,460.7920000000002,6.506500000000004,1.0,3.0,-0.040976473493647185,7.251811972993799
CHEMBL181016,O=C(Nc1ccccc1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,453.75600000000014,7.628100000000003,1.0,2.0,-0.04023742209700552,6.6777807052660805
CHEMBL182141,O=C(NCc1ccccc1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,467.7830000000002,7.305800000000004,1.0,2.0,-0.041096449369725375,7.508638306165727
CHEMBL180360,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1cc(F)cc(F)c1,active,501.74700000000024,8.104680000000004,0.0,3.0,-0.041236581192984706,8.744727494896694
CHEMBL362219,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)cc1F,active,501.74700000000024,8.104680000000004,0.0,3.0,-0.04123226206144589,8.568636235841012
CHEMBL367819,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,501.74700000000024,8.104680000000004,0.0,3.0,-0.04123898071050627,8.886056647693163
CHEMBL2113009,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1cccc(Cl)c1,active,500.2120000000002,8.479880000000001,0.0,3.0,-0.0412173850528122,8.236572006437063
CHEMBL361519,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(C(F)(F)F)cc1,active,533.7640000000002,8.845279999999999,0.0,3.0,-0.0412289027369157,8.468521082957745
CHEMBL178446,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)nc1OCc1ccc(F)c(F)c1,active,467.3020000000002,7.451280000000005,0.0,3.0,-0.04115883682528604,7.7447274948966935
CHEMBL179787,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1OCc1ccc(F)c(F)c1,active,467.3020000000002,7.451280000000005,0.0,3.0,-0.04120682717571732,8.096910013008056
CHEMBL180409,N#Cc1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,485.2920000000002,7.590380000000005,0.0,3.0,-0.04121066640375181,8.142667503568731
CHEMBL181629,Cc1ccc(-c2cc(C#N)c(OCc3ccc(F)c(F)c3)nc2-c2ccc(Cl)cc2Cl)cc1,active,481.3290000000002,7.759700000000004,0.0,3.0,-0.041214985535290634,8.200659450546418
CHEMBL362215,N#Cc1cc(-c2ccc(F)cc2)c(-c2ccc(F)cc2F)nc1OCc1ccc(F)c(F)c1,active,452.3820000000001,6.561780000000003,0.0,3.0,-0.040928483143215906,7.180456064458132
CHEMBL179779,NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,483.7820000000002,7.053700000000004,1.0,3.0,-0.04115883682528604,7.7447274948966935
CHEMBL426241,CNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,497.80900000000025,7.3144000000000045,1.0,3.0,-0.04121162621076044,8.154901959985743
CHEMBL361152,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,511.8360000000002,7.656600000000006,0.0,3.0,-0.04113964068511353,7.657577319177793
CHEMBL360763,CCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,511.8360000000002,7.704500000000006,1.0,3.0,-0.041238500807001956,8.853871964321762
